lot_address,road_address,mart_name,mart_type,longitude,latitude
서울특별시 용산구 용산동6가 69-167 신동아쇼핑,"서울특별시 용산구 이촌로 352, 신동아쇼핑 (용산동6가)",신동아쇼핑센터,복합쇼핑몰,126.98232123877584,37.5172556579229
서울특별시 강동구 둔촌동 170-1,,GS THE FRESH 둔촌포레온점,구분없음,127.13586071424326,37.526935900577385
서울특별시 강동구 둔촌동 170-1,,하나로마트 둔촌점,구분없음,127.13586071424326,37.526935900577385
"서울특별시 강동구 둔촌동 174-1 B102,B103호",,(주)이마트에브리데이 둔촌점,구분없음,127.13395460291696,37.52154401295179
서울특별시 광진구 구의동 66-25,서울특별시 광진구 광나루로39길 11 (구의동),구의 자이르네 판매시설,그 밖의 대규모점포,127.08588773512744,37.54549982110189
서울특별시 동작구 노량진동 119-68,"서울특별시 동작구 만양로 93, 주영빌딩 B1층 (노량진동)",GS THE FRESH 노량진역점,구분없음,126.94116890597414,37.51179920963134
서울특별시 강북구 수유동 472-304,서울특별시 강북구 삼양로79길 24-17 (수유동),GS THE FRESH 수유중앙점,구분없음,127.01327581521356,37.631106753587815
서울특별시 광진구 화양동 10번지 1호,서울특별시 광진구 능동로13길 39 (화양동),(주)지에스리테일GS수퍼 광진화양점,구분없음,127.0670102433251,37.54350264661168
,서울특별시 용산구 백범로 341 (원효로1가),롯데쇼핑(주)롯데슈퍼원효로점,복합쇼핑몰,126.96447297522222,37.53827568361393
서울특별시 은평구 불광1동 308번지 1호,서울특별시 은평구 통일로 842 (불광동),롯데쇼핑(주)롯데슈퍼범서점,그 밖의 대규모점포,126.91900930470273,37.61860693495705
서울특별시 성동구 상왕십리동 811 텐즈힐,"서울특별시 성동구 마장로 137, 221동 1층 1230호,1231호,1232(일부)호 (상왕십리동, 텐즈힐)",GS THE FRESH 성동텐즈힐점,구분없음,127.0218254713716,37.56936272159315
서울특별시 용산구 이촌동 302-52 LG프라자,"서울특별시 용산구 이촌로 200, LG프라자 지하1층 (이촌동)",GS THE FRESH 용산이촌점,구분없음,126.96646715160335,37.52094967001578
,"서울특별시 송파구 동남로 189 (가락동, 쌍용아파트)",(주)지에스리테일 송파점,구분없음,127.12522783123327,37.495542909720015
