school_name,school_level,lot_address,road_address,latitude,longitude
남서울중학교,중학교,서울특별시 관악구 신림동 1690-3,서울특별시 관악구 남부순환로172길 97,37.48213625,126.9210371
봉은중학교,중학교,서울특별시 강남구 삼성동 82-7,서울특별시 강남구 영동대로128길 59,37.51897667,127.0623894
대전대화초등학교,초등학교,대전광역시 대덕구 대화동 244-5,대전광역시 대덕구 대화로 242-36,36.36269221,127.4113441
도담고등학교,고등학교,세종특별자치시 도담동 642,세종특별자치시 보듬4로 41,36.51420716,127.2634446
가수원초등학교,초등학교,대전광역시 서구 가수원동 732-3,대전광역시 서구 벌곡로 1359,36.30239371,127.3530021
서울중화초등학교,초등학교,서울특별시 중랑구 신내동 531,서울특별시 중랑구 신내로7가길 22,37.60292163,127.094065
금호중앙중학교,중학교,광주광역시 북구 운암동 140,광주광역시 북구 금호로 100,35.1785969,126.8855126
월산중학교,중학교,경상남도 김해시 부곡동 806-10,경상남도 김해시 월산로 104,35.20526183,128.8039417
대전하기초등학교,초등학교,대전광역시 유성구 하기동 514,대전광역시 유성구 송림로19번길 32,36.38863145,127.321529
서울상월초등학교,초등학교,서울특별시 노원구 상계동 697,서울특별시 노원구 동일로221길 27,37.65865224,127.0569799722
선유중학교,중학교,서울특별시 영등포구 양평동3가 82,서울특별시 영등포구 선유로 213,37.53328647,126.8943293
서울중목초등학교,초등학교,서울특별시 중랑구 면목동 180-5,서울특별시 중랑구 동일로 665,37.59008735,127.0793361
독산고등학교,고등학교,서울특별시 금천구 독산동 907-34,서울특별시 금천구 문성로 64,37.47621872,126.9109732
연봉초등학교,초등학교,세종특별자치시 연서면 봉암리 210-2,세종특별자치시 연서면 당산로 357-1,36.56445274,127.2820714
연남초등학교,초등학교,세종특별자치시 연기면 연기리 397,세종특별자치시 연기면 연기길 2,36.54388083,127.277847
수왕초등학교,초등학교,세종특별자치시 연기면 눌왕리 324,세종특별자치시 연기면 눌왕길 8-45,36.54347359,127.2522261
산이중학교,중학교,전라남도 해남군 산이면 초송리 527-5,전라남도 해남군 산이면 비석길 98-2,34.64545878,126.4481956
광남중학교,중학교,경기도 광명시 광명동 384-6,경기도 광명시 광명로 785,37.47007475,126.8475588
김해임호고등학교,고등학교,경상남도 김해시 외동 715-2,경상남도 김해시 분성로3번길 77,35.23826864,128.8527201
방산중학교,중학교,서울특별시 송파구 방이동 220,서울특별시 송파구 오금로29길 31,37.50937287,127.1218756
하동중앙중학교,중학교,경상남도 하동군 하동읍 읍내리 667,경상남도 하동군 하동읍 연화길 77,35.07664446,127.7495276
신탄진초등학교,초등학교,대전광역시 대덕구 석봉동 308-7,대전광역시 대덕구 석봉로3번길 50,36.44898499,127.4225035
서울영림초등학교,초등학교,서울특별시 영등포구 대림동 993-16,서울특별시 영등포구 시흥대로173길 14,37.48734601,126.9025393
서천초등학교,초등학교,부산광역시 사하구 감천동 506-1,부산광역시 사하구 감천로105번길 10,35.08874156,129.0038498
대구관천초등학교,초등학교,대구광역시 북구 태전동 999-2,대구광역시 북구 구암로22길 17,35.93053458,128.5520401
산내초등학교,초등학교,대전광역시 동구 낭월동 632,대전광역시 동구 산내로 1292,36.27979819,127.470066
서울평화초등학교,초등학교,서울특별시 송파구 가락동 106,서울특별시 송파구 송파대로26길 22,37.49156712,127.1228237
대전성남초등학교,초등학교,대전광역시 동구 성남동 193-5,대전광역시 동구 성남로32번길 5,36.34394433,127.4293687
방산고등학교,고등학교,서울특별시 송파구 방이동 220-5,서울특별시 송파구 오금로27길 18,37.50831315,127.1204696
세륜중학교,중학교,서울특별시 송파구 오금동 7-3,서울특별시 송파구 양재대로72길 41,37.50893314,127.1312464
진남초등학교,초등학교,광주광역시 남구 노대동 732,광주광역시 남구 효우로60번길 12,35.10912722,126.9024721
의귀초등학교,초등학교,제주특별자치도 서귀포시 남원읍 의귀리 1483-3,제주특별자치도 서귀포시 남원읍 한신로 213,33.31111895,126.714628
서울양원초등학교,초등학교,서울특별시 양천구 신월동 260-1,서울특별시 양천구 화곡로 16,37.53821733,126.8231052
율하중학교,중학교,경상남도 김해시 율하동 1293,경상남도 김해시 율하1로 39,35.17508098,128.808001
