station_name,latitude,longitude
동탄,37.20034,127.09569
구성,37.29913,127.10389
성남,37.39467,127.12058
수서,37.48637,127.10161
삼성,37.50887,127.06324
서울,37.55569,126.97296
연신내,37.61878,126.9213
대곡,37.63191,126.81113
킨텍스,37.66532,126.74843
운정,37.71614,126.72841
김포공항,37.56236,126.801868
고촌,37.601243,126.770345
풍무,37.612488,126.732387
사우(김포시청),37.620249,126.719731
걸포북변,37.63165,126.705975
운양,37.653867,126.68393
장기,37.643986,126.669017
마산,37.640732,126.644344
구래,37.645384,126.628633
양촌,37.642379,126.614309
원시,37.302371,126.786691
원곡,37.31321,126.796261
초지,37.319619,126.808147
선부,37.334353,126.809904
달미,37.348847,126.809409
시흥능곡,37.369864,126.808573
시흥시청,37.382223,126.805625
신현,37.409008,126.788017
신천,37.439066,126.786788
시흥대야,37.450145,126.793041
소새울,37.468467,126.797252
소사,37.483279,126.795023
신설동,37.576095,127.023242
보문,37.585286,127.019381
성신여대입구(돈암),37.592467,127.016516
정릉,37.603133,127.013396
북한산보국문,37.612072,127.008251
솔샘,37.620238,127.013626
삼양사거리,37.621337,127.020473
삼양,37.626914,127.018106
화계,37.634133,127.017511
가오리,37.641537,127.016789
4.19민주묘지,37.649502,127.013684
솔밭공원,37.65603,127.013273
북한산우이,37.662909,127.012706
탑석,37.733579,127.088704
송산,37.737279,127.087159
어룡,37.742802,127.085035
곤제,37.750471,127.083715
효자,37.754025,127.076902
경기도청북부청사,37.75059,127.071495
새말,37.748885,127.06362
동오,37.745271,127.056947
의정부중앙,37.743676,127.049565
흥선,37.743302,127.037023
의정부시청,37.739256,127.034781
경전철의정부,37.737202,127.043257
범골,37.728755,127.04353
회룡,37.725006,127.047073
발곡,37.727048,127.052803
전대.에버랜드,37.285342,127.219561
둔전,37.267051,127.21364
보평,37.258965,127.218457
고진,37.24484,127.214251
운동장.송담대,37.237845,127.209198
김량장,37.237247,127.198781
명지대,37.237964,127.190294
시청.용인대,37.239151,127.178406
삼가,37.242115,127.168075
초당,37.260752,127.159443
동백,37.269043,127.152716
어정,37.274917,127.143714
지석,37.269606,127.136515
강남대,37.270161,127.126033
기흥,37.275449,127.116665
관악산(서울대),37.4691018,126.9450639
서울대벤처타운,37.4720019,126.9339351
서원,37.4782341,126.9330365
신림,37.4849266,126.9296159
당곡,37.4902998,126.9275133
보라매병원,37.4929598,126.9234964
보라매공원,37.4955691,126.9180827
보라매,37.5002739,126.9204355
서울지방병무청,37.5060464,126.9227083
대방,37.5133059,126.9257265
샛강,37.5170969,126.929399
남태령,37.463873,126.989134
사당,37.47653,126.981685
총신대입구(이수),37.486263,126.981989
광교(경기대),37.30211,127.044483
광교중앙(아주대),37.288617,127.051478
상현,37.297664,127.069342
성복,37.313335,127.0801
수지구청,37.322702,127.095026
동천,37.337928,127.102976
미금,37.349982,127.108918
정자,37.367098,127.108403
판교,37.394761,127.112217
청계산입구,37.447211,127.055664
동작(현충원),37.502971,126.979306
양재시민의숲(매헌),37.470023,127.03842
양재(서초구청),37.483809,127.034653
